PortName,AlternateName,Country,WaterBody,HarborSize,HarborType,HarborUse,Railway,Latitude,Longitude
Tolkkinen, ,Finland,Gulf of Finland; Baltic Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Small,60.033333,25.583333
Signilskar, ,Finland,Baltic Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,60.2,19.333333
Mariehamn,Maarianhamina,Finland,Baltic Sea; North Atlantic Ocean,Small,Coastal (Natural),Unknown,Small,60.1,19.916667
Pargas, ,Finland,Baltic Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,60.283333,22.066667
Hanko, ,Finland,Gulf of Finland; Baltic Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Small,59.816667,22.95
Jussaro,Stor Jussaro,Finland,Gulf of Finland; Baltic Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,59.833333,23.566667
Inkoo, ,Finland,Gulf of Finland; Baltic Sea; North Atlantic Ocean,Very Small,River (Basins),Unknown,Small,60.016667,23.916667
Helsinki,Helsingfors,Finland,Gulf of Finland; Baltic Sea; North Atlantic Ocean,Large,Coastal (Breakwater),Unknown,Medium,60.166667,24.966667
Porvoo,Borga; Skoldvik,Finland,Gulf of Finland; Baltic Sea; North Atlantic Ocean,Very Small,River (Natural),Unknown,Small,60.3,25.633333
Loviisa,Lovisa,Finland,Gulf of Finland; Baltic Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Small,60.45,26.233333
Kotka, ,Finland,Gulf of Finland; Baltic Sea; North Atlantic Ocean,Large,Coastal (Breakwater),Unknown,Small,60.466667,26.966667
Hamina,Fredrikshamn,Finland,Gulf of Finland; Baltic Sea; North Atlantic Ocean,Small,Coastal (Natural),Unknown,Unknown,60.566667,27.2
